timestamp,x00,y00,z00,vis00,x01,y01,z01,vis01,x02,y02,z02,vis02,x03,y03,z03,vis03,x04,y04,z04,vis04,x05,y05,z05,vis05,x06,y06,z06,vis06,x07,y07,z07,vis07,x08,y08,z08,vis08,x09,y09,z09,vis09,x10,y10,z10,vis10,x11,y11,z11,vis11,x12,y12,z12,vis12,x13,y13,z13,vis13,x14,y14,z14,vis14,x15,y15,z15,vis15,x16,y16,z16,vis16,x17,y17,z17,vis17,x18,y18,z18,vis18,x19,y19,z19,vis19,x20,y20,z20,vis20,x21,y21,z21,vis21,x22,y22,z22,vis22,x23,y23,z23,vis23,x24,y24,z24,vis24,x25,y25,z25,vis25,x26,y26,z26,vis26,x27,y27,z27,vis27,x28,y28,z28,vis28,x29,y29,z29,vis29,x30,y30,z30,vis30,x31,y31,z31,vis31,x32,y32,z32,vis32
1650045478.70174,0.06743,-0.65521,-0.17720,1.00000,0.07290,-0.69003,-0.15583,0.99998,0.07336,-0.69047,-0.15515,0.99998,0.07326,-0.69100,-0.15520,0.99998,0.04253,-0.68824,-0.16236,0.99999,0.04309,-0.68939,-0.16290,0.99999,0.04290,-0.69043,-0.16241,0.99999,0.09903,-0.67383,-0.03115,0.99996,-0.04188,-0.67078,-0.07538,0.99999,0.07816,-0.62926,-0.13338,0.99999,0.03681,-0.62695,-0.14620,1.00000,0.16502,-0.52664,0.00271,0.99992,-0.14656,-0.47749,-0.01776,0.99996,0.22786,-0.59368,-0.14469,0.99551,-0.20588,-0.23446,0.00380,0.98721,0.05032,-0.73343,-0.30534,0.98969,-0.21922,-0.00539,-0.05848,0.97138,-0.00757,-0.73190,-0.34522,0.96002,-0.21112,0.07011,-0.06793,0.93778,-0.03704,-0.74779,-0.33074,0.95752,-0.20065,0.07455,-0.09452,0.94022,0.02704,-0.73918,-0.30282,0.95165,-0.20611,0.01229,-0.06894,0.92723,0.11342,0.00375,0.01209,0.99987,-0.11380,-0.00420,-0.01104,0.99982,0.08778,0.41865,-0.01323,0.99413,-0.09285,0.39227,0.00212,0.99508,0.11785,0.74259,0.17157,0.98936,-0.09110,0.73737,0.16355,0.99088,0.12534,0.78565,0.18159,0.88643,-0.08989,0.78287,0.17047,0.83073,0.14555,0.85365,0.07010,0.98425,-0.09573,0.85405,0.04746,0.98344
1650045478.71713,0.07023,-0.65789,-0.16965,0.99999,0.07619,-0.69128,-0.14896,0.99997,0.07663,-0.69169,-0.14827,0.99997,0.07653,-0.69218,-0.14830,0.99996,0.04661,-0.68964,-0.15387,0.99998,0.04717,-0.69077,-0.15441,0.99998,0.04697,-0.69181,-0.15395,0.99999,0.10256,-0.67283,-0.03008,0.99994,-0.03430,-0.67064,-0.06868,0.99999,0.08107,-0.63047,-0.12824,0.99998,0.04068,-0.62856,-0.13904,0.99999,0.16678,-0.52532,-0.00747,0.99991,-0.14646,-0.47752,-0.01482,0.99996,0.18990,-0.57673,-0.15695,0.99518,-0.20576,-0.23618,0.00538,0.98656,0.01037,-0.71397,-0.32011,0.98919,-0.21725,-0.00995,-0.05192,0.96984,-0.04716,-0.71199,-0.36043,0.95900,-0.20891,0.06538,-0.06222,0.93498,-0.07173,-0.72891,-0.34993,0.95628,-0.19910,0.06788,-0.08559,0.93732,-0.01073,-0.72027,-0.31917,0.94896,-0.20407,0.00705,-0.06108,0.92319,0.11342,0.00376,0.01143,0.99987,-0.11380,-0.00421,-0.01036,0.99982,0.08481,0.41819,-0.01303,0.99411,-0.08620,0.39235,0.00599,0.99483,0.11515,0.73986,0.17153,0.98923,-0.07435,0.73742,0.16595,0.99060,0.12260,0.78258,0.18148,0.88282,-0.07187,0.78291,0.17264,0.82845,0.13812,0.85285,0.06947,0.98431,-0.07651,0.85493,0.04945,0.98319
1650045478.73352,0.07029,-0.66126,-0.16441,0.99999,0.07755,-0.69404,-0.14342,0.99996,0.07796,-0.69439,-0.14276,0.99996,0.07783,-0.69488,-0.14280,0.99995,0.04741,-0.69256,-0.14782,0.99998,0.04797,-0.69370,-0.14833,0.99998,0.04775,-0.69475,-0.14784,0.99998,0.10662,-0.67282,-0.02406,0.99992,-0.03222,-0.67131,-0.05970,0.99998,0.08198,-0.63284,-0.12261,0.99998,0.04111,-0.63137,-0.13259,0.99999,0.16709,-0.52437,-0.00686,0.99989,-0.14571,-0.47898,-0.00375,0.99995,0.16762,-0.54889,-0.14943,0.99410,-0.20591,-0.23684,0.02267,0.98533,-0.00486,-0.67438,-0.30077,0.98694,-0.21927,-0.01093,-0.02236,0.96646,-0.05959,-0.66602,-0.33894,0.95333,-0.21177,0.06503,-0.02876,0.92905,-0.07911,-0.68071,-0.32098,0.95010,-0.20237,0.06773,-0.05204,0.93146,-0.02355,-0.67851,-0.29481,0.94061,-0.20639,0.00605,-0.03082,0.91637,0.11340,0.00374,0.01119,0.99986,-0.11377,-0.00419,-0.01010,0.99982,0.08321,0.41831,-0.01482,0.99403,-0.08408,0.39304,0.00578,0.99450,0.11226,0.73982,0.16845,0.98892,-0.07041,0.73866,0.16428,0.99021,0.11937,0.78249,0.17843,0.87749,-0.06803,0.78406,0.17106,0.82387,0.13371,0.85282,0.06507,0.98402,-0.07327,0.85639,0.04915,0.98269
1650045478.74894,0.06918,-0.65917,-0.15101,0.99999,0.07700,-0.69235,-0.13000,0.99996,0.07742,-0.69267,-0.12935,0.99996,0.07728,-0.69315,-0.12936,0.99995,0.04613,-0.69108,-0.13446,0.99997,0.04665,-0.69220,-0.13502,0.99998,0.04643,-0.69326,-0.13450,0.99998,0.10739,-0.67133,-0.00948,0.99992,-0.03450,-0.67098,-0.04670,0.99998,0.08117,-0.63091,-0.10861,0.99998,0.03947,-0.62977,-0.11893,0.99999,0.16707,-0.51623,-0.00109,0.99990,-0.14629,-0.47915,0.00889,0.99995,0.15274,-0.47780,-0.14612,0.99358,-0.20621,-0.23754,0.02891,0.98495,-0.01718,-0.59133,-0.31678,0.98702,-0.21999,-0.01301,-0.02486,0.96533,-0.07029,-0.58412,-0.35695,0.95450,-0.21334,0.06270,-0.03347,0.92709,-0.09034,-0.60173,-0.34602,0.95132,-0.20408,0.06583,-0.05760,0.92953,-0.03675,-0.59692,-0.31451,0.94118,-0.20740,0.00422,-0.03392,0.91409,0.11338,0.00354,0.01109,0.99986,-0.11375,-0.00400,-0.01000,0.99982,0.08314,0.41825,-0.01744,0.99405,-0.08333,0.39355,0.00507,0.99430,0.11085,0.73997,0.15782,0.98873,-0.06971,0.74212,0.15310,0.98985,0.11781,0.78271,0.16707,0.87310,-0.06754,0.78768,0.15881,0.81906,0.13231,0.85374,0.05124,0.98397,-0.07316,0.86003,0.03796,0.98225
1650045478.76558,0.06752,-0.65143,-0.14873,0.99999,0.07613,-0.68629,-0.12895,0.99996,0.07654,-0.68660,-0.12831,0.99996,0.07640,-0.68710,-0.12832,0.99995,0.04464,-0.68528,-0.13269,0.99997,0.04513,-0.68636,-0.13326,0.99998,0.04482,-0.68746,-0.13270,0.99998,0.10656,-0.66971,-0.00906,0.99992,-0.03616,-0.67044,-0.04395,0.99998,0.07974,-0.62550,-0.10601,0.99998,0.03727,-0.62461,-0.11547,0.99999,0.16587,-0.50664,0.00411,0.99990,-0.14814,-0.48296,0.01473,0.99995,0.14901,-0.40664,-0.14188,0.99357,-0.20664,-0.23865,0.03931,0.98488,-0.01196,-0.50175,-0.32872,0.98787,-0.21863,-0.01216,-0.02407,0.96557,-0.06397,-0.49276,-0.37127,0.95770,-0.21275,0.06425,-0.03488,0.92784,-0.08402,-0.51345,-0.36450,0.95476,-0.20240,0.06722,-0.05994,0.93020,-0.03165,-0.50870,-0.32829,0.94479,-0.20554,0.00520,-0.03368,0.91470,0.11332,0.00340,0.01180,0.99987,-0.11367,-0.00388,-0.01070,0.99983,0.08344,0.41827,-0.01684,0.99398,-0.08361,0.39362,0.00285,0.99413,0.11019,0.73919,0.15878,0.98828,-0.07110,0.74225,0.14926,0.98953,0.11722,0.78188,0.16849,0.87130,-0.06907,0.78775,0.15530,0.81412,0.13519,0.85376,0.05446,0.98368,-0.07481,0.86154,0.03422,0.98183
1650045478.78099,0.06359,-0.64071,-0.14650,0.99999,0.07487,-0.67658,-0.12767,0.99997,0.07528,-0.67689,-0.12708,0.99996,0.07509,-0.67740,-0.12709,0.99995,0.04282,-0.67622,-0.13047,0.99997,0.04328,-0.67728,-0.13104,0.99998,0.04287,-0.67842,-0.13045,0.99998,0.10527,-0.66375,-0.00861,0.99992,-0.03712,-0.66785,-0.03989,0.99998,0.07609,-0.61649,-0.10385,0.99998,0.03318,-0.61648,-0.11220,0.99999,0.16581,-0.49139,0.01141,0.99991,-0.14932,-0.48483,0.02295,0.99995,0.16085,-0.34685,-0.13959,0.99366,-0.20685,-0.23843,0.05146,0.98449,0.00664,-0.44171,-0.32099,0.98860,-0.21728,-0.00967,-0.02219,0.96511,-0.04626,-0.43493,-0.36248,0.96048,-0.21229,0.07183,-0.03458,0.92722,-0.06463,-0.46267,-0.35760,0.95776,-0.20060,0.07319,-0.06025,0.92951,-0.01309,-0.45230,-0.32124,0.94782,-0.20349,0.00793,-0.03197,0.91366,0.11312,0.00308,0.01193,0.99987,-0.11345,-0.00359,-0.01082,0.99983,0.08378,0.41824,-0.01161,0.99379,-0.08258,0.39415,0.00107,0.99388,0.11123,0.73943,0.15913,0.98773,-0.07062,0.74745,0.14191,0.98930,0.11840,0.78217,0.16867,0.86885,-0.06900,0.79317,0.14754,0.81125,0.13657,0.85385,0.05480,0.98331,-0.07656,0.86689,0.02576,0.98141
1650045478.79746,0.05955,-0.63770,-0.14851,0.99999,0.07149,-0.67414,-0.12938,0.99997,0.07190,-0.67445,-0.12875,0.99996,0.07170,-0.67497,-0.12875,0.99995,0.03881,-0.67358,-0.13256,0.99997,0.03926,-0.67459,-0.13311,0.99998,0.03880,-0.67574,-0.13253,0.99998,0.10327,-0.66237,-0.01068,0.99992,-0.04209,-0.66637,-0.04313,0.99998,0.07203,-0.61394,-0.10617,0.99998,0.02843,-0.61363,-0.11511,0.99999,0.16574,-0.48429,0.01131,0.99992,-0.15606,-0.48475,0.01767,0.99995,0.16932,-0.31635,-0.13602,0.99380,-0.20704,-0.23060,0.04702,0.98428,0.01237,-0.38215,-0.32594,0.98927,-0.21457,-0.00199,-0.02673,0.96461,-0.04356,-0.36855,-0.37099,0.96297,-0.20903,0.08217,-0.03754,0.92660,-0.06437,-0.39932,-0.36845,0.96048,-0.19743,0.07893,-0.06276,0.92884,-0.00900,-0.39296,-0.32697,0.95050,-0.20031,0.01400,-0.03657,0.91225,0.11310,0.00300,0.01260,0.99987,-0.11343,-0.00353,-0.01149,0.99983,0.07975,0.41934,-0.00933,0.99371,-0.08423,0.39420,0.00101,0.99370,0.10845,0.73915,0.17201,0.98754,-0.07282,0.74729,0.14984,0.98924,0.11604,0.78180,0.18276,0.87028,-0.07177,0.79297,0.15710,0.80966,0.13735,0.85372,0.06885,0.98332,-0.08139,0.86680,0.03337,0.98138
1650045478.81304,0.05955,-0.63770,-0.14851,0.99999,0.07149,-0.67414,-0.12938,0.99997,0.07190,-0.67445,-0.12875,0.99996,0.07170,-0.67497,-0.12875,0.99995,0.03881,-0.67358,-0.13256,0.99997,0.03926,-0.67459,-0.13311,0.99998,0.03880,-0.67574,-0.13253,0.99998,0.10327,-0.66237,-0.01068,0.99992,-0.04209,-0.66637,-0.04313,0.99998,0.07203,-0.61394,-0.10617,0.99998,0.02843,-0.61363,-0.11511,0.99999,0.16574,-0.48429,0.01131,0.99992,-0.15606,-0.48475,0.01767,0.99995,0.16932,-0.31635,-0.13602,0.99380,-0.20704,-0.23060,0.04702,0.98428,0.01237,-0.38215,-0.32594,0.98927,-0.21457,-0.00199,-0.02673,0.96461,-0.04356,-0.36855,-0.37099,0.96297,-0.20903,0.08217,-0.03754,0.92660,-0.06437,-0.39932,-0.36845,0.96048,-0.19743,0.07893,-0.06276,0.92884,-0.00900,-0.39296,-0.32697,0.95050,-0.20031,0.01400,-0.03657,0.91225,0.11310,0.00300,0.01260,0.99987,-0.11343,-0.00353,-0.01149,0.99983,0.07975,0.41934,-0.00933,0.99371,-0.08423,0.39420,0.00101,0.99370,0.10845,0.73915,0.17201,0.98754,-0.07282,0.74729,0.14984,0.98924,0.11604,0.78180,0.18276,0.87028,-0.07177,0.79297,0.15710,0.80966,0.13735,0.85372,0.06885,0.98332,-0.08139,0.86680,0.03337,0.98138
1650045478.82957,0.05335,-0.63394,-0.20468,0.99999,0.06572,-0.67065,-0.18493,0.99997,0.06614,-0.67097,-0.18432,0.99997,0.06597,-0.67151,-0.18436,0.99996,0.03242,-0.67021,-0.18741,0.99998,0.03286,-0.67112,-0.18807,0.99998,0.03241,-0.67231,-0.18730,0.99998,0.10102,-0.65855,-0.06286,0.99993,-0.04768,-0.66328,-0.09037,0.99998,0.06678,-0.61001,-0.16163,0.99998,0.02224,-0.60977,-0.16855,0.99999,0.16563,-0.47464,-0.02128,0.99992,-0.16168,-0.48461,-0.01009,0.99996,0.17484,-0.28109,-0.13966,0.99421,-0.21183,-0.22983,0.04275,0.98430,0.01792,-0.29720,-0.35093,0.99019,-0.21282,-0.00189,-0.05062,0.96495,-0.03979,-0.26885,-0.39864,0.96617,-0.20440,0.08327,-0.07154,0.92750,-0.06265,-0.30329,-0.40452,0.96393,-0.19155,0.07776,-0.09693,0.92965,-0.00477,-0.30760,-0.35398,0.95449,-0.19712,0.01356,-0.06140,0.91255,0.11317,0.00297,0.01315,0.99987,-0.11347,-0.00351,-0.01204,0.99983,0.07999,0.42053,-0.00125,0.99380,-0.08462,0.39408,0.00294,0.99383,0.10813,0.73897,0.19128,0.98789,-0.07307,0.74470,0.17071,0.98961,0.11588,0.78161,0.20211,0.87584,-0.07237,0.79045,0.17956,0.81392,0.13785,0.85421,0.08708,0.98389,-0.08314,0.86661,0.05257,0.98206
1650045478.84514,0.05335,-0.63394,-0.20468,0.99999,0.06572,-0.67065,-0.18493,0.99997,0.06614,-0.67097,-0.18432,0.99997,0.06597,-0.67151,-0.18436,0.99996,0.03242,-0.67021,-0.18741,0.99998,0.03286,-0.67112,-0.18807,0.99998,0.03241,-0.67231,-0.18730,0.99998,0.10102,-0.65855,-0.06286,0.99993,-0.04768,-0.66328,-0.09037,0.99998,0.06678,-0.61001,-0.16163,0.99998,0.02224,-0.60977,-0.16855,0.99999,0.16563,-0.47464,-0.02128,0.99992,-0.16168,-0.48461,-0.01009,0.99996,0.17484,-0.28109,-0.13966,0.99421,-0.21183,-0.22983,0.04275,0.98430,0.01792,-0.29720,-0.35093,0.99019,-0.21282,-0.00189,-0.05062,0.96495,-0.03979,-0.26885,-0.39864,0.96617,-0.20440,0.08327,-0.07154,0.92750,-0.06265,-0.30329,-0.40452,0.96393,-0.19155,0.07776,-0.09693,0.92965,-0.00477,-0.30760,-0.35398,0.95449,-0.19712,0.01356,-0.06140,0.91255,0.11317,0.00297,0.01315,0.99987,-0.11347,-0.00351,-0.01204,0.99983,0.07999,0.42053,-0.00125,0.99380,-0.08462,0.39408,0.00294,0.99383,0.10813,0.73897,0.19128,0.98789,-0.07307,0.74470,0.17071,0.98961,0.11588,0.78161,0.20211,0.87584,-0.07237,0.79045,0.17956,0.81392,0.13785,0.85421,0.08708,0.98389,-0.08314,0.86661,0.05257,0.98206
1650045478.86185,0.04933,-0.63392,-0.23821,0.99999,0.06042,-0.67062,-0.21813,0.99997,0.06082,-0.67094,-0.21753,0.99997,0.06073,-0.67147,-0.21764,0.99996,0.02711,-0.66991,-0.22127,0.99998,0.02756,-0.67079,-0.22195,0.99998,0.02714,-0.67199,-0.22114,0.99998,0.09690,-0.65714,-0.09635,0.99993,-0.05240,-0.66044,-0.12336,0.99997,0.06375,-0.60943,-0.19558,0.99998,0.01913,-0.60874,-0.20208,0.99999,0.16560,-0.47086,-0.04199,0.99993,-0.16489,-0.48319,-0.04116,0.99996,0.17782,-0.25453,-0.13364,0.99450,-0.21379,-0.22928,0.02356,0.98396,0.03030,-0.20332,-0.33993,0.99095,-0.21214,-0.00231,-0.07201,0.96463,-0.02276,-0.15565,-0.38644,0.96890,-0.20319,0.08335,-0.09749,0.92758,-0.04624,-0.19004,-0.39606,0.96690,-0.19052,0.07329,-0.12469,0.92976,0.00897,-0.21029,-0.34349,0.95787,-0.19592,0.01124,-0.08420,0.91220,0.11328,0.00293,0.01408,0.99986,-0.11356,-0.00349,-0.01297,0.99982,0.08049,0.42071,0.00148,0.99387,-0.08639,0.39364,0.00286,0.99395,0.10767,0.73905,0.19252,0.98822,-0.07350,0.74225,0.17282,0.98993,0.11536,0.78169,0.20245,0.88146,-0.07262,0.78804,0.18170,0.81761,0.13989,0.85485,0.08747,0.98425,-0.08685,0.86409,0.05435,0.98254
1650045478.87765,0.04933,-0.63392,-0.23821,0.99999,0.06042,-0.67062,-0.21813,0.99997,0.06082,-0.67094,-0.21753,0.99997,0.06073,-0.67147,-0.21764,0.99996,0.02711,-0.66991,-0.22127,0.99998,0.02756,-0.67079,-0.22195,0.99998,0.02714,-0.67199,-0.22114,0.99998,0.09690,-0.65714,-0.09635,0.99993,-0.05240,-0.66044,-0.12336,0.99997,0.06375,-0.60943,-0.19558,0.99998,0.01913,-0.60874,-0.20208,0.99999,0.16560,-0.47086,-0.04199,0.99993,-0.16489,-0.48319,-0.04116,0.99996,0.17782,-0.25453,-0.13364,0.99450,-0.21379,-0.22928,0.02356,0.98396,0.03030,-0.20332,-0.33993,0.99095,-0.21214,-0.00231,-0.07201,0.96463,-0.02276,-0.15565,-0.38644,0.96890,-0.20319,0.08335,-0.09749,0.92758,-0.04624,-0.19004,-0.39606,0.96690,-0.19052,0.07329,-0.12469,0.92976,0.00897,-0.21029,-0.34349,0.95787,-0.19592,0.01124,-0.08420,0.91220,0.11328,0.00293,0.01408,0.99986,-0.11356,-0.00349,-0.01297,0.99982,0.08049,0.42071,0.00148,0.99387,-0.08639,0.39364,0.00286,0.99395,0.10767,0.73905,0.19252,0.98822,-0.07350,0.74225,0.17282,0.98993,0.11536,0.78169,0.20245,0.88146,-0.07262,0.78804,0.18170,0.81761,0.13989,0.85485,0.08747,0.98425,-0.08685,0.86409,0.05435,0.98254
1650045478.89336,0.04933,-0.63392,-0.23821,0.99999,0.06042,-0.67062,-0.21813,0.99997,0.06082,-0.67094,-0.21753,0.99997,0.06073,-0.67147,-0.21764,0.99996,0.02711,-0.66991,-0.22127,0.99998,0.02756,-0.67079,-0.22195,0.99998,0.02714,-0.67199,-0.22114,0.99998,0.09690,-0.65714,-0.09635,0.99993,-0.05240,-0.66044,-0.12336,0.99997,0.06375,-0.60943,-0.19558,0.99998,0.01913,-0.60874,-0.20208,0.99999,0.16560,-0.47086,-0.04199,0.99993,-0.16489,-0.48319,-0.04116,0.99996,0.17782,-0.25453,-0.13364,0.99450,-0.21379,-0.22928,0.02356,0.98396,0.03030,-0.20332,-0.33993,0.99095,-0.21214,-0.00231,-0.07201,0.96463,-0.02276,-0.15565,-0.38644,0.96890,-0.20319,0.08335,-0.09749,0.92758,-0.04624,-0.19004,-0.39606,0.96690,-0.19052,0.07329,-0.12469,0.92976,0.00897,-0.21029,-0.34349,0.95787,-0.19592,0.01124,-0.08420,0.91220,0.11328,0.00293,0.01408,0.99986,-0.11356,-0.00349,-0.01297,0.99982,0.08049,0.42071,0.00148,0.99387,-0.08639,0.39364,0.00286,0.99395,0.10767,0.73905,0.19252,0.98822,-0.07350,0.74225,0.17282,0.98993,0.11536,0.78169,0.20245,0.88146,-0.07262,0.78804,0.18170,0.81761,0.13989,0.85485,0.08747,0.98425,-0.08685,0.86409,0.05435,0.98254
1650045478.90975,0.03924,-0.63434,-0.24440,0.99999,0.04820,-0.67079,-0.22485,0.99997,0.04858,-0.67112,-0.22423,0.99997,0.04858,-0.67166,-0.22438,0.99996,0.01535,-0.67021,-0.22735,0.99998,0.01580,-0.67111,-0.22806,0.99998,0.01548,-0.67231,-0.22730,0.99998,0.08782,-0.65734,-0.10663,0.99993,-0.05980,-0.65981,-0.12983,0.99997,0.05612,-0.60987,-0.20306,0.99998,0.01213,-0.60910,-0.20844,0.99999,0.16481,-0.47063,-0.05038,0.99994,-0.16724,-0.48067,-0.05182,0.99995,0.17865,-0.25064,-0.10537,0.99462,-0.21856,-0.22397,0.01531,0.98352,0.04225,-0.13658,-0.29902,0.99150,-0.21260,0.00219,-0.07763,0.96429,-0.00238,-0.06973,-0.34781,0.97110,-0.20362,0.09112,-0.10314,0.92789,-0.03962,-0.09644,-0.37911,0.96935,-0.19051,0.07460,-0.13037,0.93011,0.01630,-0.13669,-0.30916,0.96061,-0.19619,0.01359,-0.08997,0.91249,0.11335,0.00294,0.01408,0.99984,-0.11362,-0.00351,-0.01297,0.99981,0.08080,0.42070,0.00206,0.99365,-0.09019,0.39287,0.00098,0.99386,0.10736,0.74037,0.18351,0.98809,-0.07811,0.74234,0.16119,0.98979,0.11519,0.78286,0.19029,0.88361,-0.07762,0.78815,0.16838,0.81597,0.14261,0.85478,0.07391,0.98394,-0.09363,0.86195,0.03905,0.98216
1650045478.92529,0.03924,-0.63434,-0.24440,0.99999,0.04820,-0.67079,-0.22485,0.99997,0.04858,-0.67112,-0.22423,0.99997,0.04858,-0.67166,-0.22438,0.99996,0.01535,-0.67021,-0.22735,0.99998,0.01580,-0.67111,-0.22806,0.99998,0.01548,-0.67231,-0.22730,0.99998,0.08782,-0.65734,-0.10663,0.99993,-0.05980,-0.65981,-0.12983,0.99997,0.05612,-0.60987,-0.20306,0.99998,0.01213,-0.60910,-0.20844,0.99999,0.16481,-0.47063,-0.05038,0.99994,-0.16724,-0.48067,-0.05182,0.99995,0.17865,-0.25064,-0.10537,0.99462,-0.21856,-0.22397,0.01531,0.98352,0.04225,-0.13658,-0.29902,0.99150,-0.21260,0.00219,-0.07763,0.96429,-0.00238,-0.06973,-0.34781,0.97110,-0.20362,0.09112,-0.10314,0.92789,-0.03962,-0.09644,-0.37911,0.96935,-0.19051,0.07460,-0.13037,0.93011,0.01630,-0.13669,-0.30916,0.96061,-0.19619,0.01359,-0.08997,0.91249,0.11335,0.00294,0.01408,0.99984,-0.11362,-0.00351,-0.01297,0.99981,0.08080,0.42070,0.00206,0.99365,-0.09019,0.39287,0.00098,0.99386,0.10736,0.74037,0.18351,0.98809,-0.07811,0.74234,0.16119,0.98979,0.11519,0.78286,0.19029,0.88361,-0.07762,0.78815,0.16838,0.81597,0.14261,0.85478,0.07391,0.98394,-0.09363,0.86195,0.03905,0.98216
1650045478.94173,0.03332,-0.64554,-0.23260,0.99999,0.04217,-0.68223,-0.21284,0.99997,0.04252,-0.68253,-0.21222,0.99997,0.04256,-0.68301,-0.21234,0.99996,0.00977,-0.68093,-0.21567,0.99998,0.01024,-0.68180,-0.21634,0.99998,0.00998,-0.68301,-0.21562,0.99998,0.08394,-0.66442,-0.09481,0.99994,-0.06191,-0.66538,-0.11981,0.99997,0.05112,-0.61874,-0.19111,0.99998,0.00796,-0.61749,-0.19722,0.99999,0.16412,-0.47275,-0.04394,0.99994,-0.16718,-0.48172,-0.04705,0.99995,0.17389,-0.25264,-0.04728,0.99419,-0.22247,-0.22329,0.01427,0.98328,0.07618,-0.08581,-0.20039,0.99152,-0.21339,0.00216,-0.07693,0.96480,0.04647,-0.00410,-0.24226,0.97222,-0.20495,0.09075,-0.10230,0.92964,0.00944,-0.02172,-0.27595,0.97073,-0.19127,0.07441,-0.12981,0.93191,0.05208,-0.07909,-0.21290,0.96198,-0.19665,0.01357,-0.08938,0.91477,0.11337,0.00315,0.01334,0.99983,-0.11363,-0.00372,-0.01221,0.99980,0.08039,0.42064,0.00093,0.99360,-0.09186,0.39264,0.00005,0.99368,0.10740,0.74108,0.18117,0.98810,-0.07846,0.74268,0.15826,0.98970,0.11513,0.78343,0.18747,0.88362,-0.07798,0.78847,0.16513,0.81540,0.14302,0.85478,0.07000,0.98380,-0.09348,0.85899,0.03715,0.98205
1650045478.95713,0.03332,-0.64554,-0.23260,0.99999,0.04217,-0.68223,-0.21284,0.99997,0.04252,-0.68253,-0.21222,0.99997,0.04256,-0.68301,-0.21234,0.99996,0.00977,-0.68093,-0.21567,0.99998,0.01024,-0.68180,-0.21634,0.99998,0.00998,-0.68301,-0.21562,0.99998,0.08394,-0.66442,-0.09481,0.99994,-0.06191,-0.66538,-0.11981,0.99997,0.05112,-0.61874,-0.19111,0.99998,0.00796,-0.61749,-0.19722,0.99999,0.16412,-0.47275,-0.04394,0.99994,-0.16718,-0.48172,-0.04705,0.99995,0.17389,-0.25264,-0.04728,0.99419,-0.22247,-0.22329,0.01427,0.98328,0.07618,-0.08581,-0.20039,0.99152,-0.21339,0.00216,-0.07693,0.96480,0.04647,-0.00410,-0.24226,0.97222,-0.20495,0.09075,-0.10230,0.92964,0.00944,-0.02172,-0.27595,0.97073,-0.19127,0.07441,-0.12981,0.93191,0.05208,-0.07909,-0.21290,0.96198,-0.19665,0.01357,-0.08938,0.91477,0.11337,0.00315,0.01334,0.99983,-0.11363,-0.00372,-0.01221,0.99980,0.08039,0.42064,0.00093,0.99360,-0.09186,0.39264,0.00005,0.99368,0.10740,0.74108,0.18117,0.98810,-0.07846,0.74268,0.15826,0.98970,0.11513,0.78343,0.18747,0.88362,-0.07798,0.78847,0.16513,0.81540,0.14302,0.85478,0.07000,0.98380,-0.09348,0.85899,0.03715,0.98205
1650045478.97357,0.02672,-0.65157,-0.22728,0.99999,0.03520,-0.68833,-0.20767,0.99997,0.03555,-0.68863,-0.20706,0.99997,0.03559,-0.68910,-0.20715,0.99997,0.00295,-0.68660,-0.21119,0.99998,0.00340,-0.68749,-0.21179,0.99998,0.00321,-0.68869,-0.21110,0.99998,0.07758,-0.66793,-0.08797,0.99994,-0.06725,-0.66789,-0.11601,0.99997,0.04470,-0.62330,-0.18488,0.99999,0.00206,-0.62176,-0.19191,0.99999,0.15972,-0.47238,-0.04055,0.99995,-0.16746,-0.48148,-0.04547,0.99995,0.16442,-0.23208,-0.02379,0.99323,-0.22311,-0.21275,0.00258,0.98307,0.11065,-0.04090,-0.16693,0.99122,-0.21489,0.00595,-0.09012,0.96576,0.09432,0.04385,-0.20475,0.97265,-0.20843,0.09276,-0.11706,0.93205,0.06232,0.03497,-0.23764,0.97141,-0.19145,0.07686,-0.14454,0.93431,0.09071,-0.02936,-0.18027,0.96261,-0.19722,0.01774,-0.10292,0.91784,0.11333,0.00327,0.01325,0.99983,-0.11360,-0.00383,-0.01211,0.99980,0.08017,0.41993,0.00110,0.99350,-0.09500,0.39278,-0.00170,0.99346,0.10756,0.74197,0.17972,0.98806,-0.07961,0.74593,0.15149,0.98968,0.11528,0.78434,0.18556,0.88392,-0.07940,0.79174,0.15770,0.81477,0.14493,0.85462,0.06816,0.98367,-0.09541,0.85876,0.03029,0.98200
