timestamp,x00,y00,z00,vis00,x01,y01,z01,vis01,x02,y02,z02,vis02,x03,y03,z03,vis03,x04,y04,z04,vis04,x05,y05,z05,vis05,x06,y06,z06,vis06,x07,y07,z07,vis07,x08,y08,z08,vis08,x09,y09,z09,vis09,x10,y10,z10,vis10,x11,y11,z11,vis11,x12,y12,z12,vis12,x13,y13,z13,vis13,x14,y14,z14,vis14,x15,y15,z15,vis15,x16,y16,z16,vis16,x17,y17,z17,vis17,x18,y18,z18,vis18,x19,y19,z19,vis19,x20,y20,z20,vis20,x21,y21,z21,vis21,x22,y22,z22,vis22,x23,y23,z23,vis23,x24,y24,z24,vis24,x25,y25,z25,vis25,x26,y26,z26,vis26,x27,y27,z27,vis27,x28,y28,z28,vis28,x29,y29,z29,vis29,x30,y30,z30,vis30,x31,y31,z31,vis31,x32,y32,z32,vis32
1650045274.35589,0.01959,-0.65250,-0.19131,1.00000,0.02767,-0.68843,-0.16856,0.99998,0.02815,-0.68897,-0.16795,0.99998,0.02796,-0.68953,-0.16794,0.99998,-0.00401,-0.68649,-0.17594,0.99999,-0.00351,-0.68766,-0.17646,0.99999,-0.00371,-0.68875,-0.17591,0.99999,0.06634,-0.67579,-0.04294,0.99995,-0.08203,-0.67068,-0.08885,0.99999,0.03400,-0.62795,-0.14692,0.99999,-0.00931,-0.62534,-0.16078,0.99999,0.14936,-0.53425,-0.02176,0.99990,-0.17302,-0.47322,-0.02659,0.99996,0.26201,-0.65840,-0.15700,0.99364,-0.21342,-0.22173,-0.00361,0.98266,0.10400,-0.81959,-0.29067,0.98673,-0.22046,0.00033,-0.06617,0.96201,0.05231,-0.82301,-0.32692,0.95179,-0.20983,0.07170,-0.07801,0.92382,0.02081,-0.83627,-0.31249,0.94923,-0.20237,0.07374,-0.10209,0.92628,0.08063,-0.82516,-0.28884,0.94383,-0.20797,0.01514,-0.07591,0.90992,0.11408,0.00117,0.01165,0.99990,-0.11437,-0.00170,-0.01045,0.99989,0.09877,0.42472,0.00802,0.99336,-0.09212,0.39305,0.02035,0.99579,0.16189,0.72961,0.18951,0.99045,-0.08789,0.73180,0.19016,0.99395,0.17485,0.77123,0.19938,0.92185,-0.08696,0.77761,0.19796,0.87739,0.21628,0.83108,0.09346,0.98771,-0.10728,0.85193,0.07936,0.98907
1650045274.37254,0.02200,-0.65270,-0.19399,1.00000,0.02921,-0.68842,-0.17170,0.99997,0.02971,-0.68896,-0.17109,0.99997,0.02953,-0.68952,-0.17109,0.99996,-0.00226,-0.68645,-0.17829,0.99999,-0.00174,-0.68761,-0.17882,0.99999,-0.00193,-0.68870,-0.17823,0.99999,0.06627,-0.67570,-0.04652,0.99993,-0.08114,-0.67007,-0.08991,0.99999,0.03632,-0.62807,-0.14986,0.99998,-0.00666,-0.62536,-0.16270,0.99999,0.14871,-0.53739,-0.02694,0.99987,-0.17307,-0.47257,-0.02879,0.99995,0.24891,-0.65768,-0.15381,0.99366,-0.21403,-0.22285,-0.00639,0.98184,0.07505,-0.79855,-0.28513,0.98430,-0.22020,-0.00584,-0.07058,0.95917,0.01939,-0.79570,-0.32121,0.94175,-0.20869,0.06351,-0.08518,0.91881,-0.01473,-0.80711,-0.30868,0.93784,-0.19988,0.06460,-0.10737,0.92106,0.05026,-0.80181,-0.28376,0.93162,-0.20715,0.00842,-0.07982,0.90279,0.11404,0.00126,0.01118,0.99990,-0.11432,-0.00179,-0.00997,0.99988,0.09880,0.42478,0.00593,0.99336,-0.09218,0.39440,0.02071,0.99574,0.16291,0.73152,0.18021,0.99025,-0.08769,0.73632,0.18819,0.99391,0.17603,0.77324,0.18941,0.91991,-0.08686,0.78246,0.19530,0.87841,0.21640,0.83293,0.08183,0.98743,-0.10737,0.85643,0.07607,0.98894
1650045274.38935,0.02200,-0.65270,-0.19399,1.00000,0.02921,-0.68842,-0.17170,0.99997,0.02971,-0.68896,-0.17109,0.99997,0.02953,-0.68952,-0.17109,0.99996,-0.00226,-0.68645,-0.17829,0.99999,-0.00174,-0.68761,-0.17882,0.99999,-0.00193,-0.68870,-0.17823,0.99999,0.06627,-0.67570,-0.04652,0.99993,-0.08114,-0.67007,-0.08991,0.99999,0.03632,-0.62807,-0.14986,0.99998,-0.00666,-0.62536,-0.16270,0.99999,0.14871,-0.53739,-0.02694,0.99987,-0.17307,-0.47257,-0.02879,0.99995,0.24891,-0.65768,-0.15381,0.99366,-0.21403,-0.22285,-0.00639,0.98184,0.07505,-0.79855,-0.28513,0.98430,-0.22020,-0.00584,-0.07058,0.95917,0.01939,-0.79570,-0.32121,0.94175,-0.20869,0.06351,-0.08518,0.91881,-0.01473,-0.80711,-0.30868,0.93784,-0.19988,0.06460,-0.10737,0.92106,0.05026,-0.80181,-0.28376,0.93162,-0.20715,0.00842,-0.07982,0.90279,0.11404,0.00126,0.01118,0.99990,-0.11432,-0.00179,-0.00997,0.99988,0.09880,0.42478,0.00593,0.99336,-0.09218,0.39440,0.02071,0.99574,0.16291,0.73152,0.18021,0.99025,-0.08769,0.73632,0.18819,0.99391,0.17603,0.77324,0.18941,0.91991,-0.08686,0.78246,0.19530,0.87841,0.21640,0.83293,0.08183,0.98743,-0.10737,0.85643,0.07607,0.98894
1650045274.40495,0.02200,-0.65270,-0.19399,1.00000,0.02921,-0.68842,-0.17170,0.99997,0.02971,-0.68896,-0.17109,0.99997,0.02953,-0.68952,-0.17109,0.99996,-0.00226,-0.68645,-0.17829,0.99999,-0.00174,-0.68761,-0.17882,0.99999,-0.00193,-0.68870,-0.17823,0.99999,0.06627,-0.67570,-0.04652,0.99993,-0.08114,-0.67007,-0.08991,0.99999,0.03632,-0.62807,-0.14986,0.99998,-0.00666,-0.62536,-0.16270,0.99999,0.14871,-0.53739,-0.02694,0.99987,-0.17307,-0.47257,-0.02879,0.99995,0.24891,-0.65768,-0.15381,0.99366,-0.21403,-0.22285,-0.00639,0.98184,0.07505,-0.79855,-0.28513,0.98430,-0.22020,-0.00584,-0.07058,0.95917,0.01939,-0.79570,-0.32121,0.94175,-0.20869,0.06351,-0.08518,0.91881,-0.01473,-0.80711,-0.30868,0.93784,-0.19988,0.06460,-0.10737,0.92106,0.05026,-0.80181,-0.28376,0.93162,-0.20715,0.00842,-0.07982,0.90279,0.11404,0.00126,0.01118,0.99990,-0.11432,-0.00179,-0.00997,0.99988,0.09880,0.42478,0.00593,0.99336,-0.09218,0.39440,0.02071,0.99574,0.16291,0.73152,0.18021,0.99025,-0.08769,0.73632,0.18819,0.99391,0.17603,0.77324,0.18941,0.91991,-0.08686,0.78246,0.19530,0.87841,0.21640,0.83293,0.08183,0.98743,-0.10737,0.85643,0.07607,0.98894
1650045274.42148,0.02256,-0.65283,-0.19540,0.99999,0.02935,-0.68848,-0.17342,0.99996,0.02985,-0.68902,-0.17281,0.99996,0.02967,-0.68957,-0.17281,0.99994,-0.00205,-0.68643,-0.17971,0.99998,-0.00153,-0.68759,-0.18024,0.99998,-0.00172,-0.68868,-0.17963,0.99998,0.06614,-0.67571,-0.04837,0.99990,-0.08123,-0.67003,-0.09066,0.99998,0.03687,-0.62825,-0.15134,0.99998,-0.00598,-0.62541,-0.16377,0.99999,0.14719,-0.53857,-0.02739,0.99985,-0.17327,-0.47255,-0.03001,0.99995,0.24324,-0.64180,-0.14758,0.99350,-0.21447,-0.22389,-0.01055,0.98123,0.07165,-0.77006,-0.28080,0.98142,-0.21914,-0.00927,-0.07497,0.95699,0.01620,-0.76498,-0.31666,0.93083,-0.20719,0.05977,-0.09086,0.91500,-0.01752,-0.77714,-0.30549,0.92564,-0.19795,0.06038,-0.11215,0.91706,0.04711,-0.77316,-0.27980,0.91832,-0.20585,0.00480,-0.08393,0.89720,0.11400,0.00126,0.01120,0.99989,-0.11428,-0.00178,-0.00999,0.99987,0.09889,0.42480,0.00604,0.99338,-0.09222,0.39574,0.02040,0.99576,0.16310,0.73286,0.18049,0.99007,-0.08736,0.73894,0.18605,0.99390,0.17623,0.77471,0.18961,0.91842,-0.08660,0.78515,0.19280,0.87936,0.21656,0.83492,0.08158,0.98714,-0.10719,0.85984,0.07267,0.98883
1650045274.43803,0.02256,-0.65283,-0.19540,0.99999,0.02935,-0.68848,-0.17342,0.99996,0.02985,-0.68902,-0.17281,0.99996,0.02967,-0.68957,-0.17281,0.99994,-0.00205,-0.68643,-0.17971,0.99998,-0.00153,-0.68759,-0.18024,0.99998,-0.00172,-0.68868,-0.17963,0.99998,0.06614,-0.67571,-0.04837,0.99990,-0.08123,-0.67003,-0.09066,0.99998,0.03687,-0.62825,-0.15134,0.99998,-0.00598,-0.62541,-0.16377,0.99999,0.14719,-0.53857,-0.02739,0.99985,-0.17327,-0.47255,-0.03001,0.99995,0.24324,-0.64180,-0.14758,0.99350,-0.21447,-0.22389,-0.01055,0.98123,0.07165,-0.77006,-0.28080,0.98142,-0.21914,-0.00927,-0.07497,0.95699,0.01620,-0.76498,-0.31666,0.93083,-0.20719,0.05977,-0.09086,0.91500,-0.01752,-0.77714,-0.30549,0.92564,-0.19795,0.06038,-0.11215,0.91706,0.04711,-0.77316,-0.27980,0.91832,-0.20585,0.00480,-0.08393,0.89720,0.11400,0.00126,0.01120,0.99989,-0.11428,-0.00178,-0.00999,0.99987,0.09889,0.42480,0.00604,0.99338,-0.09222,0.39574,0.02040,0.99576,0.16310,0.73286,0.18049,0.99007,-0.08736,0.73894,0.18605,0.99390,0.17623,0.77471,0.18961,0.91842,-0.08660,0.78515,0.19280,0.87936,0.21656,0.83492,0.08158,0.98714,-0.10719,0.85984,0.07267,0.98883
1650045274.45446,0.02369,-0.65254,-0.19624,0.99999,0.03011,-0.68816,-0.17416,0.99996,0.03061,-0.68869,-0.17354,0.99995,0.03044,-0.68924,-0.17356,0.99993,-0.00115,-0.68605,-0.18028,0.99998,-0.00063,-0.68720,-0.18082,0.99998,-0.00083,-0.68829,-0.18025,0.99998,0.06605,-0.67566,-0.04952,0.99988,-0.08116,-0.66991,-0.09363,0.99998,0.03759,-0.62813,-0.15242,0.99997,-0.00512,-0.62523,-0.16409,0.99999,0.14615,-0.53830,-0.02912,0.99983,-0.17450,-0.47261,-0.03304,0.99994,0.24133,-0.62791,-0.14831,0.99330,-0.21577,-0.22499,-0.01715,0.98107,0.07378,-0.75120,-0.28822,0.97906,-0.21902,-0.01052,-0.08181,0.95598,0.01880,-0.74633,-0.32506,0.92241,-0.20664,0.05905,-0.09852,0.91308,-0.01460,-0.75975,-0.31385,0.91628,-0.19660,0.05919,-0.11929,0.91496,0.04949,-0.75489,-0.28714,0.90755,-0.20537,0.00351,-0.09056,0.89389,0.11398,0.00122,0.01122,0.99988,-0.11426,-0.00173,-0.01001,0.99986,0.09901,0.42474,0.00785,0.99345,-0.09222,0.39637,0.02122,0.99580,0.16392,0.73282,0.18140,0.98996,-0.08743,0.73949,0.18601,0.99391,0.17698,0.77467,0.19046,0.91695,-0.08673,0.78563,0.19277,0.88043,0.21679,0.83579,0.08221,0.98695,-0.10725,0.86107,0.07260,0.98875
1650045274.47076,0.02369,-0.65254,-0.19624,0.99999,0.03011,-0.68816,-0.17416,0.99996,0.03061,-0.68869,-0.17354,0.99995,0.03044,-0.68924,-0.17356,0.99993,-0.00115,-0.68605,-0.18028,0.99998,-0.00063,-0.68720,-0.18082,0.99998,-0.00083,-0.68829,-0.18025,0.99998,0.06605,-0.67566,-0.04952,0.99988,-0.08116,-0.66991,-0.09363,0.99998,0.03759,-0.62813,-0.15242,0.99997,-0.00512,-0.62523,-0.16409,0.99999,0.14615,-0.53830,-0.02912,0.99983,-0.17450,-0.47261,-0.03304,0.99994,0.24133,-0.62791,-0.14831,0.99330,-0.21577,-0.22499,-0.01715,0.98107,0.07378,-0.75120,-0.28822,0.97906,-0.21902,-0.01052,-0.08181,0.95598,0.01880,-0.74633,-0.32506,0.92241,-0.20664,0.05905,-0.09852,0.91308,-0.01460,-0.75975,-0.31385,0.91628,-0.19660,0.05919,-0.11929,0.91496,0.04949,-0.75489,-0.28714,0.90755,-0.20537,0.00351,-0.09056,0.89389,0.11398,0.00122,0.01122,0.99988,-0.11426,-0.00173,-0.01001,0.99986,0.09901,0.42474,0.00785,0.99345,-0.09222,0.39637,0.02122,0.99580,0.16392,0.73282,0.18140,0.98996,-0.08743,0.73949,0.18601,0.99391,0.17698,0.77467,0.19046,0.91695,-0.08673,0.78563,0.19277,0.88043,0.21679,0.83579,0.08221,0.98695,-0.10725,0.86107,0.07260,0.98875
1650045274.48713,0.02355,-0.65258,-0.19722,0.99999,0.03001,-0.68820,-0.17525,0.99995,0.03051,-0.68873,-0.17463,0.99994,0.03033,-0.68928,-0.17465,0.99993,-0.00127,-0.68607,-0.18110,0.99997,-0.00076,-0.68722,-0.18163,0.99998,-0.00095,-0.68831,-0.18103,0.99998,0.06580,-0.67582,-0.05065,0.99987,-0.08126,-0.67007,-0.09421,0.99998,0.03746,-0.62822,-0.15340,0.99997,-0.00526,-0.62531,-0.16489,0.99999,0.14551,-0.53853,-0.02923,0.99982,-0.17555,-0.47319,-0.03490,0.99994,0.24309,-0.62090,-0.15049,0.99318,-0.21588,-0.22644,-0.02385,0.98112,0.08326,-0.74330,-0.29796,0.97772,-0.21775,-0.01119,-0.09077,0.95554,0.02975,-0.73831,-0.33578,0.91744,-0.20564,0.05875,-0.10769,0.91222,-0.00310,-0.75192,-0.32466,0.91065,-0.19475,0.05910,-0.12860,0.91391,0.05935,-0.74708,-0.29704,0.90094,-0.20379,0.00303,-0.09954,0.89205,0.11396,0.00118,0.01126,0.99988,-0.11424,-0.00169,-0.01004,0.99986,0.09926,0.42457,0.00930,0.99351,-0.09227,0.39684,0.02281,0.99583,0.16416,0.73278,0.18476,0.98981,-0.08745,0.74006,0.18666,0.99391,0.17719,0.77463,0.19424,0.91583,-0.08676,0.78614,0.19340,0.88141,0.21692,0.83626,0.08631,0.98678,-0.10726,0.86211,0.07385,0.98869
1650045274.50259,0.02355,-0.65258,-0.19722,0.99999,0.03001,-0.68820,-0.17525,0.99995,0.03051,-0.68873,-0.17463,0.99994,0.03033,-0.68928,-0.17465,0.99993,-0.00127,-0.68607,-0.18110,0.99997,-0.00076,-0.68722,-0.18163,0.99998,-0.00095,-0.68831,-0.18103,0.99998,0.06580,-0.67582,-0.05065,0.99987,-0.08126,-0.67007,-0.09421,0.99998,0.03746,-0.62822,-0.15340,0.99997,-0.00526,-0.62531,-0.16489,0.99999,0.14551,-0.53853,-0.02923,0.99982,-0.17555,-0.47319,-0.03490,0.99994,0.24309,-0.62090,-0.15049,0.99318,-0.21588,-0.22644,-0.02385,0.98112,0.08326,-0.74330,-0.29796,0.97772,-0.21775,-0.01119,-0.09077,0.95554,0.02975,-0.73831,-0.33578,0.91744,-0.20564,0.05875,-0.10769,0.91222,-0.00310,-0.75192,-0.32466,0.91065,-0.19475,0.05910,-0.12860,0.91391,0.05935,-0.74708,-0.29704,0.90094,-0.20379,0.00303,-0.09954,0.89205,0.11396,0.00118,0.01126,0.99988,-0.11424,-0.00169,-0.01004,0.99986,0.09926,0.42457,0.00930,0.99351,-0.09227,0.39684,0.02281,0.99583,0.16416,0.73278,0.18476,0.98981,-0.08745,0.74006,0.18666,0.99391,0.17719,0.77463,0.19424,0.91583,-0.08676,0.78614,0.19340,0.88141,0.21692,0.83626,0.08631,0.98678,-0.10726,0.86211,0.07385,0.98869
1650045274.51890,0.02334,-0.65313,-0.19708,0.99999,0.02989,-0.68881,-0.17554,0.99995,0.03039,-0.68933,-0.17493,0.99994,0.03022,-0.68988,-0.17494,0.99992,-0.00145,-0.68669,-0.18148,0.99997,-0.00094,-0.68784,-0.18202,0.99998,-0.00113,-0.68893,-0.18141,0.99998,0.06474,-0.67668,-0.05081,0.99986,-0.08158,-0.67116,-0.09443,0.99998,0.03725,-0.62889,-0.15300,0.99997,-0.00536,-0.62599,-0.16474,0.99999,0.14459,-0.53800,-0.02573,0.99982,-0.17680,-0.47600,-0.03556,0.99994,0.24479,-0.62004,-0.14540,0.99311,-0.21601,-0.22894,-0.02374,0.98101,0.10077,-0.73809,-0.29274,0.97692,-0.21772,-0.01148,-0.08849,0.95508,0.05050,-0.73339,-0.32944,0.91394,-0.20619,0.05917,-0.10450,0.91133,0.02024,-0.74736,-0.31959,0.90665,-0.19543,0.05990,-0.12519,0.91285,0.07829,-0.74225,-0.29217,0.89595,-0.20388,0.00325,-0.09698,0.89042,0.11394,0.00114,0.01136,0.99987,-0.11421,-0.00164,-0.01015,0.99986,0.09960,0.42457,0.00790,0.99355,-0.09232,0.39708,0.02109,0.99585,0.16462,0.73291,0.18088,0.98965,-0.08747,0.74113,0.18073,0.99391,0.17764,0.77476,0.19008,0.91431,-0.08678,0.78724,0.18700,0.88200,0.21774,0.83701,0.08365,0.98666,-0.10763,0.86318,0.06942,0.98867
1650045274.53522,0.02334,-0.65313,-0.19708,0.99999,0.02989,-0.68881,-0.17554,0.99995,0.03039,-0.68933,-0.17493,0.99994,0.03022,-0.68988,-0.17494,0.99992,-0.00145,-0.68669,-0.18148,0.99997,-0.00094,-0.68784,-0.18202,0.99998,-0.00113,-0.68893,-0.18141,0.99998,0.06474,-0.67668,-0.05081,0.99986,-0.08158,-0.67116,-0.09443,0.99998,0.03725,-0.62889,-0.15300,0.99997,-0.00536,-0.62599,-0.16474,0.99999,0.14459,-0.53800,-0.02573,0.99982,-0.17680,-0.47600,-0.03556,0.99994,0.24479,-0.62004,-0.14540,0.99311,-0.21601,-0.22894,-0.02374,0.98101,0.10077,-0.73809,-0.29274,0.97692,-0.21772,-0.01148,-0.08849,0.95508,0.05050,-0.73339,-0.32944,0.91394,-0.20619,0.05917,-0.10450,0.91133,0.02024,-0.74736,-0.31959,0.90665,-0.19543,0.05990,-0.12519,0.91285,0.07829,-0.74225,-0.29217,0.89595,-0.20388,0.00325,-0.09698,0.89042,0.11394,0.00114,0.01136,0.99987,-0.11421,-0.00164,-0.01015,0.99986,0.09960,0.42457,0.00790,0.99355,-0.09232,0.39708,0.02109,0.99585,0.16462,0.73291,0.18088,0.98965,-0.08747,0.74113,0.18073,0.99391,0.17764,0.77476,0.19008,0.91431,-0.08678,0.78724,0.18700,0.88200,0.21774,0.83701,0.08365,0.98666,-0.10763,0.86318,0.06942,0.98867
1650045274.55057,0.02273,-0.65321,-0.19503,0.99999,0.02978,-0.68896,-0.17406,0.99995,0.03027,-0.68947,-0.17346,0.99994,0.03010,-0.69002,-0.17345,0.99993,-0.00155,-0.68700,-0.18002,0.99997,-0.00105,-0.68816,-0.18058,0.99998,-0.00125,-0.68924,-0.17993,0.99998,0.06430,-0.67682,-0.04877,0.99987,-0.08189,-0.67246,-0.09257,0.99998,0.03615,-0.62896,-0.15042,0.99997,-0.00646,-0.62622,-0.16235,0.99999,0.14383,-0.53720,-0.01492,0.99982,-0.17854,-0.47826,-0.03499,0.99994,0.25545,-0.58922,-0.14023,0.99336,-0.21578,-0.22950,-0.02071,0.98126,0.11409,-0.72587,-0.28888,0.97736,-0.21799,-0.01121,-0.08035,0.95564,0.06598,-0.72761,-0.32540,0.91419,-0.20677,0.05974,-0.09424,0.91198,0.03710,-0.74356,-0.31807,0.90670,-0.19609,0.06090,-0.11539,0.91336,0.09270,-0.73229,-0.28959,0.89529,-0.20425,0.00346,-0.08855,0.89075,0.11388,0.00096,0.01167,0.99987,-0.11416,-0.00147,-0.01047,0.99986,0.10045,0.42447,0.00724,0.99365,-0.09236,0.39720,0.01712,0.99592,0.16503,0.73290,0.18045,0.98953,-0.08765,0.74196,0.17169,0.99398,0.17804,0.77475,0.18974,0.91345,-0.08698,0.78800,0.17759,0.88306,0.21978,0.83732,0.08410,0.98659,-0.10768,0.86366,0.06086,0.98871
1650045274.56691,0.02273,-0.65321,-0.19503,0.99999,0.02978,-0.68896,-0.17406,0.99995,0.03027,-0.68947,-0.17346,0.99994,0.03010,-0.69002,-0.17345,0.99993,-0.00155,-0.68700,-0.18002,0.99997,-0.00105,-0.68816,-0.18058,0.99998,-0.00125,-0.68924,-0.17993,0.99998,0.06430,-0.67682,-0.04877,0.99987,-0.08189,-0.67246,-0.09257,0.99998,0.03615,-0.62896,-0.15042,0.99997,-0.00646,-0.62622,-0.16235,0.99999,0.14383,-0.53720,-0.01492,0.99982,-0.17854,-0.47826,-0.03499,0.99994,0.25545,-0.58922,-0.14023,0.99336,-0.21578,-0.22950,-0.02071,0.98126,0.11409,-0.72587,-0.28888,0.97736,-0.21799,-0.01121,-0.08035,0.95564,0.06598,-0.72761,-0.32540,0.91419,-0.20677,0.05974,-0.09424,0.91198,0.03710,-0.74356,-0.31807,0.90670,-0.19609,0.06090,-0.11539,0.91336,0.09270,-0.73229,-0.28959,0.89529,-0.20425,0.00346,-0.08855,0.89075,0.11388,0.00096,0.01167,0.99987,-0.11416,-0.00147,-0.01047,0.99986,0.10045,0.42447,0.00724,0.99365,-0.09236,0.39720,0.01712,0.99592,0.16503,0.73290,0.18045,0.98953,-0.08765,0.74196,0.17169,0.99398,0.17804,0.77475,0.18974,0.91345,-0.08698,0.78800,0.17759,0.88306,0.21978,0.83732,0.08410,0.98659,-0.10768,0.86366,0.06086,0.98871
1650045274.58343,0.02274,-0.65203,-0.19328,0.99999,0.03044,-0.68810,-0.17257,0.99996,0.03093,-0.68860,-0.17197,0.99995,0.03074,-0.68917,-0.17197,0.99993,-0.00088,-0.68654,-0.17888,0.99998,-0.00040,-0.68771,-0.17943,0.99998,-0.00061,-0.68879,-0.17874,0.99998,0.06421,-0.67629,-0.04558,0.99988,-0.08191,-0.67268,-0.09169,0.99998,0.03606,-0.62788,-0.14782,0.99997,-0.00658,-0.62567,-0.16057,0.99999,0.14319,-0.52983,-0.00139,0.99983,-0.17966,-0.47979,-0.03325,0.99995,0.26660,-0.54252,-0.12395,0.99378,-0.21365,-0.22902,-0.01157,0.98128,0.14129,-0.70498,-0.28818,0.97887,-0.21721,-0.00904,-0.06564,0.95570,0.09128,-0.71645,-0.32460,0.91892,-0.20701,0.06360,-0.07634,0.91177,0.06645,-0.73876,-0.31393,0.91182,-0.19661,0.06843,-0.10015,0.91312,0.12029,-0.71658,-0.28717,0.90038,-0.20403,0.00710,-0.07446,0.89037,0.11382,0.00084,0.01238,0.99988,-0.11410,-0.00134,-0.01119,0.99986,0.10099,0.42462,0.00678,0.99387,-0.09219,0.39699,0.01296,0.99600,0.16503,0.73294,0.18059,0.98972,-0.08750,0.74187,0.17099,0.99414,0.17804,0.77480,0.19011,0.91519,-0.08682,0.78791,0.17715,0.88521,0.22174,0.83742,0.08647,0.98694,-0.10693,0.86327,0.06062,0.98897
1650045274.59980,0.02274,-0.65203,-0.19328,0.99999,0.03044,-0.68810,-0.17257,0.99996,0.03093,-0.68860,-0.17197,0.99995,0.03074,-0.68917,-0.17197,0.99993,-0.00088,-0.68654,-0.17888,0.99998,-0.00040,-0.68771,-0.17943,0.99998,-0.00061,-0.68879,-0.17874,0.99998,0.06421,-0.67629,-0.04558,0.99988,-0.08191,-0.67268,-0.09169,0.99998,0.03606,-0.62788,-0.14782,0.99997,-0.00658,-0.62567,-0.16057,0.99999,0.14319,-0.52983,-0.00139,0.99983,-0.17966,-0.47979,-0.03325,0.99995,0.26660,-0.54252,-0.12395,0.99378,-0.21365,-0.22902,-0.01157,0.98128,0.14129,-0.70498,-0.28818,0.97887,-0.21721,-0.00904,-0.06564,0.95570,0.09128,-0.71645,-0.32460,0.91892,-0.20701,0.06360,-0.07634,0.91177,0.06645,-0.73876,-0.31393,0.91182,-0.19661,0.06843,-0.10015,0.91312,0.12029,-0.71658,-0.28717,0.90038,-0.20403,0.00710,-0.07446,0.89037,0.11382,0.00084,0.01238,0.99988,-0.11410,-0.00134,-0.01119,0.99986,0.10099,0.42462,0.00678,0.99387,-0.09219,0.39699,0.01296,0.99600,0.16503,0.73294,0.18059,0.98972,-0.08750,0.74187,0.17099,0.99414,0.17804,0.77480,0.19011,0.91519,-0.08682,0.78791,0.17715,0.88521,0.22174,0.83742,0.08647,0.98694,-0.10693,0.86327,0.06062,0.98897
1650045274.61617,0.02149,-0.65157,-0.19335,0.99999,0.03025,-0.68782,-0.17276,0.99996,0.03073,-0.68831,-0.17216,0.99995,0.03053,-0.68889,-0.17218,0.99994,-0.00116,-0.68648,-0.17887,0.99998,-0.00070,-0.68765,-0.17943,0.99998,-0.00093,-0.68873,-0.17871,0.99998,0.06408,-0.67602,-0.04555,0.99989,-0.08240,-0.67350,-0.09098,0.99998,0.03388,-0.62745,-0.14786,0.99998,-0.00897,-0.62558,-0.16042,0.99999,0.14175,-0.51957,0.00348,0.99985,-0.18141,-0.48127,-0.03048,0.99995,0.26985,-0.49666,-0.11731,0.99417,-0.21390,-0.22859,0.00593,0.98149,0.18605,-0.65968,-0.28767,0.98040,-0.21960,-0.00554,-0.03828,0.95642,0.14726,-0.67585,-0.32410,0.92425,-0.21069,0.06939,-0.04403,0.91237,0.12756,-0.70269,-0.31469,0.91764,-0.20342,0.07542,-0.07033,0.91376,0.16851,-0.67430,-0.28732,0.90643,-0.20776,0.01131,-0.04763,0.89132,0.11373,0.00068,0.01269,0.99988,-0.11401,-0.00119,-0.01152,0.99987,0.10122,0.42470,0.00762,0.99404,-0.09223,0.39630,0.01132,0.99608,0.16248,0.73300,0.18596,0.98984,-0.08842,0.74086,0.17143,0.99426,0.17515,0.77491,0.19588,0.91710,-0.08790,0.78683,0.17756,0.88713,0.22171,0.83752,0.09462,0.98719,-0.10812,0.86084,0.06072,0.98914
1650045274.63153,0.02149,-0.65157,-0.19335,0.99999,0.03025,-0.68782,-0.17276,0.99996,0.03073,-0.68831,-0.17216,0.99995,0.03053,-0.68889,-0.17218,0.99994,-0.00116,-0.68648,-0.17887,0.99998,-0.00070,-0.68765,-0.17943,0.99998,-0.00093,-0.68873,-0.17871,0.99998,0.06408,-0.67602,-0.04555,0.99989,-0.08240,-0.67350,-0.09098,0.99998,0.03388,-0.62745,-0.14786,0.99998,-0.00897,-0.62558,-0.16042,0.99999,0.14175,-0.51957,0.00348,0.99985,-0.18141,-0.48127,-0.03048,0.99995,0.26985,-0.49666,-0.11731,0.99417,-0.21390,-0.22859,0.00593,0.98149,0.18605,-0.65968,-0.28767,0.98040,-0.21960,-0.00554,-0.03828,0.95642,0.14726,-0.67585,-0.32410,0.92425,-0.21069,0.06939,-0.04403,0.91237,0.12756,-0.70269,-0.31469,0.91764,-0.20342,0.07542,-0.07033,0.91376,0.16851,-0.67430,-0.28732,0.90643,-0.20776,0.01131,-0.04763,0.89132,0.11373,0.00068,0.01269,0.99988,-0.11401,-0.00119,-0.01152,0.99987,0.10122,0.42470,0.00762,0.99404,-0.09223,0.39630,0.01132,0.99608,0.16248,0.73300,0.18596,0.98984,-0.08842,0.74086,0.17143,0.99426,0.17515,0.77491,0.19588,0.91710,-0.08790,0.78683,0.17756,0.88713,0.22171,0.83752,0.09462,0.98719,-0.10812,0.86084,0.06072,0.98914
